id,lat,lng,planningArea,tap_in,tap_out,deficit,avg_flow,pop_multiplier,pop_estimate
75009,1.35407552367477,103.94339098473914,TAMPINES,4607736,4502560,105176,4555148,0.19012510200892468,49413
76059,1.35296163572491,103.94165154852797,TAMPINES,330559,116454,214105,223506,0.00932880798815027,2424
76069,1.34875342114003,103.94208629087403,TAMPINES,310013,204128,105885,257070,0.010729719423701331,2788
96289,1.34005496226354,103.94838106593957,TAMPINES,144639,312525,-167886,228582,0.009540672677902897,2479
96109,1.33737118239889,103.95067333143491,TAMPINES,74787,104606,-29819,89696,0.0037437776225476118,973
85079,1.33394889968504,103.9501523198666,TAMPINES,51519,36454,15065,43986,0.001835910213447414,477
85089,1.33338002405472,103.94880327361744,BEDOK,23668,11898,11770,17783,0.0007242020775880532,97
85069,1.3318,103.94738,BEDOK,98445,67706,30739,83075,0.003383179868167774,454
85059,1.32950222197902,103.94906611097686,BEDOK,15080,5885,9195,10482,0.0004268732034683672,57
85049,1.32671998700111,103.95124872703616,BEDOK,25770,80074,-54304,52922,0.0021552169122259998,289
85039,1.32442497435966,103.95298594261581,BEDOK,3473,25774,-22301,14623,0.0005955129607248553,79
85029,1.32261805599904,103.95429972202514,BEDOK,5746,28787,-23041,17266,0.0007031475606835363,94
85019,1.321288333018,103.95534472201146,BEDOK,25211,75808,-50597,50509,0.002056948925203564,276
94079,1.31962000617397,103.95524325955397,BEDOK,5113,14374,-9261,9743,0.00039677786886016997,53
94069,1.31809668590525,103.95085659912792,BEDOK,18917,8039,10878,13478,0.0005488835180639814,73
94059,1.31707137658578,103.94798092494041,BEDOK,101954,43235,58719,72594,0.002956347389103477,396
94049,1.31616443335073,103.94482108127718,BEDOK,21185,13336,7849,17260,0.0007029032142591126,94
94089,1.31536333302999,103.94294138900047,BEDOK,23098,11366,11732,17232,0.0007017629309451349,94
94039,1.31485363967239,103.94066333773824,BEDOK,111534,46928,64606,79231,0.003226635258920263,433
94029,1.31453305602342,103.93750499997167,BEDOK,33413,11816,21597,22614,0.0009209416736532776,123
94019,1.3142851610342,103.93574953076752,BEDOK,37614,11279,26335,24446,0.000995548781910676,133
93099,1.31390444400831,103.93171138898548,BEDOK,33376,33652,-276,33514,0.0013648376780231691,183
93089,1.31295810131062,103.92790605020116,BEDOK,46125,47829,-1704,46977,0.0019131103300260909,256
93079,1.31250502315071,103.9250247698478,BEDOK,58077,55832,2245,56954,0.002319417709438789,311
93069,1.31168943552207,103.92240015622043,BEDOK,71377,51333,20044,61355,0.002498645811753641,335
93059,1.31076138897412,103.91930777802244,BEDOK,25348,21789,3559,23568,0.0009597927551366607,128
92159,1.309748,103.9166295,BEDOK,60383,49918,10465,55150,0.002245950884495368,301
92149,1.30928064742874,103.91434517290193,BEDOK,48989,24567,24422,36778,0.0014977621329097127,201
92139,1.30853972762017,103.91062932209371,BEDOK,44486,28490,15996,36488,0.0014859520557292292,199
92129,1.30686400495083,103.90646134135645,MARINE PARADE,74892,90789,-15897,82840,0.021076563594027323,516
92119,1.30444500073,103.90277451423108,MARINE PARADE,167700,118820,48880,143260,0.036448919609854594,893
92109,1.30356602776936,103.90145614778639,MARINE PARADE,45024,15440,29584,30232,0.0076917753570091025,188
92099,1.3023783312326,103.89900426571224,MARINE PARADE,81612,50986,30626,66299,0.01686812034911175,413
92161,1.30380001918907,103.89656923070308,MARINE PARADE,84796,52715,32081,68755,0.01749298804813313,428
82071,1.30725334418948,103.89541128171984,MARINE PARADE,148969,46696,102273,97832,0.024890902577630145,610
81199,1.30862937328019,103.8906311270188,MARINE PARADE,10539,24933,-14394,17736,0.004512481070783059,110
81189,1.30821308595952,103.88850877408412,GEYLANG,79795,353111,-273316,216453,0.01445715874581862,807
81179,1.30726086825664,103.88490711001795,GEYLANG,91355,88964,2391,90159,0.006021829105460589,336
80141,1.30711835522323,103.87989373246151,KALLANG,73795,80844,-7049,77319,0.007852037747951204,402
80219,1.30674381370885,103.875264139574,KALLANG,10878,11825,-947,11351,0.0011527371083044802,59
80169,1.30070547633658,103.86336013257065,DOWNTOWN CORE,35565,60688,-25123,48126,0.010024986434001548,15
80159,1.295962316986,103.85795174896221,DOWNTOWN CORE,63197,88600,-25403,75898,0.01581009060316356,25
02119,1.29184407356581,103.85534334305085,DOWNTOWN CORE,20373,29736,-9363,25054,0.005218925531261164,8
