pair,prob
['14151' '14169'],1.0
['14309' '14389'],1.0
['14319' '14389'],1.0
['14489' '14381'],1.0
['14489' '14389'],1.0
['14309' '14381'],1.0
['14489' '14379'],1.0
['14019' '14239'],1.0
['99031' '99049'],1.0
['44539' '44521'],1.0
['83191' '83062'],1.0
['99161' '99189'],0.9999999
['05629' '03241'],0.9999999
['16199' '16159'],0.9999999
['83201' '83062'],0.9999999
['14069' '10049'],0.9999999
['14041' '14351'],0.9999999
['01621' '01113'],0.9999999
['10501' '10089'],0.9999999
['14071' '10041'],0.9999999
['14171' '14329'],0.9999999
['14071' '14089'],0.9999999
['03218' '05651'],0.9999999
['99171' '99129'],0.9999999
['16179' '16159'],0.9999999
['99009' '99181'],0.9999999
['99041' '99189'],0.9999999
['14159' '14351'],0.9999999
['15159' '15049'],0.9999999
['14329' '14351'],0.9999999
['05641' '03241'],0.9999999
['44539' '45231'],0.9999999
['14489' '14029'],0.9999999
['14319' '14029'],0.9999999
['17381' '16159'],0.9999999
['01621' '01059'],0.9999999
['14109' '14239'],0.9999999
['80151' '01541'],0.9999999
['14271' '14249'],0.9999999
['14291' '14389'],0.9999999
['14141' '14011'],0.9999999
['14071' '10049'],0.9999999
['14071' '14069'],0.9999999
['05641' '05419'],0.9999999
['15149' '15049'],0.9999999
['16021' '16019'],0.9999999
['14309' '14239'],0.9999999
['44539' '45239'],0.9999999
['15151' '15041'],0.9999999
['14101' '14239'],0.9999999
['99031' '99089'],0.9999999
['14171' '14351'],0.9999999
['14101' '14019'],0.9999999
['99031' '99029'],0.9999999
['99041' '99131'],0.9999999
['83231' '83271'],0.9999999
['15191' '15169'],0.9999999
['83249' '83271'],0.9999999
['83209' '83062'],0.9999999
['14049' '14351'],0.9999999
['99031' '99091'],0.9999999
['15141' '15041'],0.9999999
['14101' '14089'],0.9999999
['14519' '14529'],0.9999999
['14319' '14281'],0.9999999
['83199' '83063'],0.9999999
['80151' '01119'],0.9999999
['14309' '14011'],0.9999999
['44259' '44791'],0.9999999
['99031' '99111'],0.9999999
['14101' '14011'],0.9999999
['15151' '15049'],0.9999999
['68161' '68139'],0.9999999
['99031' '99079'],0.9999999
['03111' '03218'],0.9999999
['97151' '97301'],0.9999999
['99091' '99111'],0.9999999
['14499' '14351'],0.9999999
['80151' '01139'],0.9999999
['14021' '14239'],0.9999999
['17389' '16159'],0.9999999
['14051' '14249'],0.9999999
['99031' '99119'],0.9999999
['05649' '03222'],0.9999999
['57049' '57051'],0.9999999
['14221' '14239'],0.9999999
['14081' '14239'],0.9999999
['14309' '14019'],0.9999999
['99081' '99109'],0.9999999
